Year,Month,AGE_BEN_SNDS,BEN_SEX_COD,RAC,FLT_PAI_MNT
2020,10,80,0,656.98,3023.6
2020,10,80,1,139525653.52,803977086.77
2020,10,80,2,254034158.22,1255271106.94
2020,10,99,0,7249.84,19177248.44
2020,10,99,1,305474.2,3244835.95
2020,10,99,2,328550.07,2975900.57
2020,11,0,0,324.1500000000001,958.37
2020,11,0,1,206052420.03,585048389.08
2020,11,0,2,218983317.64,553037002.0
2020,11,20,1,77793307.32,274509936.06
2020,11,20,2,131204140.24,433684975.89
2020,11,30,0,0.0,27.0
2020,11,30,1,113342988.12,384171721.41
2020,11,30,2,190046181.68,637140550.54
2020,11,40,1,172117460.06,543699700.55
2020,11,40,2,242711193.76,717002289.18
2020,11,50,1,235675203.86,825520175.43
2020,11,50,2,296009850.95,932107939.11
2020,11,60,1,242028547.49,1300260084.77
2020,11,60,2,293736947.77,1047298862.48
2020,11,70,1,209450442.2,1057399057.02
2020,11,70,2,265384484.72,1061433005.49
2020,11,80,0,5223.94,16529.03
2020,11,80,1,129689721.95,769618658.5
2020,11,80,2,237719662.47,1209415746.28
2020,11,99,0,177188.94000000003,201214694.57
2020,11,99,1,288266.27,9599815.11
2020,11,99,2,310672.72,7332250.4
2020,12,0,0,364.71,1223.5
2020,12,0,1,239776077.51,671338335.69
2020,12,0,2,252944095.45,622885897.5
2020,12,20,1,90010014.71,298379289.23
2020,12,20,2,148013698.38,463938133.74
2020,12,30,0,0.0,108.0
2020,12,30,1,130804000.86,418567094.2
2020,12,30,2,211300713.03,679153946.71
2020,12,40,0,0.0,205.78
2020,12,40,1,197502390.85,598165631.61
2020,12,40,2,269561206.97,769324313.3
2020,12,50,0,0.0,27.0
2020,12,50,1,272102054.73,912253541.27
2020,12,50,2,331561828.72,1010610978.77
2020,12,60,0,0.0,3862.98
2020,12,60,1,276318910.61,1651306034.45
2020,12,60,2,326832903.1,1129864909.92
2020,12,70,1,233443000.43,1163937635.52
2020,12,70,2,288883854.02,1140838974.93
2020,12,80,0,238.21000000000004,598.62
2020,12,80,1,140475068.72,832716574.99
2020,12,80,2,254867290.98,1297542988.28
2020,12,99,0,73818.02,55487167.02
2020,12,99,1,281441.85,4008022.23
2020,12,99,2,337426.44,2059333.43
2021,1,0,0,309.14,627.26
2021,1,0,1,195658061.89,544980530.55
2021,1,0,2,208417823.42,520533362.18
2021,1,20,1,74809930.77,258935556.94
2021,1,20,2,123408297.9,406594674.5
2021,1,30,0,0.0,54.0
2021,1,30,1,105447268.28,358497069.35
2021,1,30,2,171499304.58,585573234.25
2021,1,40,0,0.0,81.0
2021,1,40,1,156321715.32,506924334.13
2021,1,40,2,210790512.58,646497864.82
2021,1,50,0,0.0,54.0
2021,1,50,1,211566743.13,775954534.43
2021,1,50,2,251503458.69,844341583.1
2021,1,60,0,0.0,27.0
2021,1,60,1,214557145.0,1143211228.49
2021,1,60,2,247933928.89,954321284.17
2021,1,70,1,186964356.09,1016772672.95
2021,1,70,2,225679478.54,981061450.13
2021,1,80,1,117602084.81,748854178.35
2021,1,80,2,213045277.72,1157898317.51
2021,1,99,0,56547.68,1877832.43
2021,1,99,1,275605.98,2085245.27
2021,1,99,2,319521.45,1862257.76
2021,2,0,0,482.4500000000003,2425.4100000000003
2021,2,0,1,197920351.35,568193660.02
2021,2,0,2,209928867.95,542164723.02
2021,2,20,1,77341757.16,257618838.65
2021,2,20,2,130689320.81,416582792.9
2021,2,30,1,111492506.84,366040640.64
2021,2,30,2,183823348.11,608679735.48
2021,2,40,0,0.0,54.0
2021,2,40,1,166209346.86,518176226.96
2021,2,40,2,229037610.96,679937007.97
2021,2,50,0,0.0,98.0
2021,2,50,1,227962869.73,793559438.99
2021,2,50,2,280189352.47,886988475.63
2021,2,60,0,0.0,27.0
2021,2,60,1,236832143.37,1180406549.27
2021,2,60,2,279517965.81,993778439.46
2021,2,70,1,207290929.59,1033180294.69
2021,2,70,2,253761616.82,1013056112.94
2021,2,80,1,121746678.5,727603198.64
2021,2,80,2,217572341.54,1134211239.81
2021,2,99,0,1208.22,19865121.93
2021,2,99,1,322415.63,3328163.05
2021,2,99,2,323760.4,2139094.43
2021,3,0,0,24.0,62.39
2021,3,0,1,226910662.27,651343090.27
2021,3,0,2,245821152.39,627299062.62
2021,3,20,1,87065462.52,296250205.51
2021,3,20,2,147000167.07,465822815.29
2021,3,30,0,0.0,180.72
2021,3,30,1,125212044.93,412076636.38
2021,3,30,2,206969097.96,677279078.76
2021,3,40,0,0.0,81.0
2021,3,40,1,187025207.03,580411227.73
2021,3,40,2,263031390.38,768441991.13
2021,3,50,0,0.0,284.12
2021,3,50,1,255902397.58,882498335.2
2021,3,50,2,320921613.15,1001036650.84
2021,3,60,0,0.0,14785.490000000002
2021,3,60,1,264559474.75,1269867528.68
2021,3,60,2,316640224.51,1112978572.46
2021,3,70,0,0.0,130.04
2021,3,70,1,233622369.55,1130006850.69
2021,3,70,2,284847491.63,1120169840.84
2021,3,80,0,0.0,44.06
2021,3,80,1,139808495.99,798010450.88
2021,3,80,2,249225500.96,1258984958.1
2021,3,99,0,46816.23,263744670.05
2021,3,99,1,337797.28,11502452.03
2021,3,99,2,364414.15,11428992.0
2021,4,0,0,541.0,802.0
2021,4,0,1,203226863.27,617587400.51
2021,4,0,2,215262920.5,582444371.76
2021,4,20,1,86758275.03,301031766.26
2021,4,20,2,143136557.34,468512160.68
2021,4,30,1,121667246.82,411750280.04
2021,4,30,2,199496082.28,677348614.0
2021,4,40,1,178482725.14,578449942.09
2021,4,40,2,249543596.92,758182189.47
2021,4,50,1,248504296.0,892321725.89
2021,4,50,2,311282373.07,1002825882.41
2021,4,60,1,260090230.09,1393940898.77
2021,4,60,2,309998134.97,1124193503.29
2021,4,70,1,234493821.72,1172670583.86
2021,4,70,2,288164644.66,1151426887.63
2021,4,80,1,136508047.87,808838649.53
2021,4,80,2,243223221.43,1242098750.69
2021,4,99,0,64.52,680944733.13
2021,4,99,1,272103.82,44731350.84
2021,4,99,2,323727.67,53100659.01
2021,5,0,0,0.0,728.6800000000001
2021,5,0,1,188406639.53,563907819.29
2021,5,0,2,198574677.52,530395006.26
2021,5,20,1,76461382.41,258906270.97
2021,5,20,2,126627536.81,407414918.62
2021,5,30,1,108752632.82,361032680.03
2021,5,30,2,178829639.2,597600926.59
2021,5,40,1,159967750.86,508472461.34
2021,5,40,2,221525650.59,663940247.56
2021,5,50,0,0.0,25.0
2021,5,50,1,222379835.84,789936293.57
2021,5,50,2,275746200.3,878716859.02
2021,5,60,0,0.0,79.0
2021,5,60,1,234431633.73,2136526674.19
2021,5,60,2,277448434.77,998258458.51
2021,5,70,1,212837090.5,1059479706.47
2021,5,70,2,262320334.3,1041451800.98
2021,5,80,0,24.0,80.0
2021,5,80,1,129115832.35,744954387.17
2021,5,80,2,235717345.41,1155563617.9
2021,5,99,0,1226.56,57399121.01
2021,5,99,1,253588.34,9145093.67
2021,5,99,2,288956.22,4010462.68
2021,6,0,0,0.0,312.16
2021,6,0,1,238174103.99,683325856.1
2021,6,0,2,248938343.38,639057566.01
2021,6,20,1,94339215.62,301865323.0
2021,6,20,2,151276555.06,473800871.94
2021,6,30,1,132177324.76,418105602.41
2021,6,30,2,216832131.21,702195323.93
2021,6,40,1,195994768.59,593683973.09
2021,6,40,2,271850832.2,780720523.84
2021,6,50,1,273114993.61,922614874.77
2021,6,50,2,341949050.2,1039201309.79
2021,6,60,0,0.0,1220.0
2021,6,60,1,284547735.4,2120739293.95
2021,6,60,2,344279660.4,1188590714.09
2021,6,70,1,256568124.56,1242587979.31
2021,6,70,2,323976993.23,1235981745.56
2021,6,80,0,1059.0400000000002,2661.21
2021,6,80,1,152882832.66,860394318.92
