FLX_ANN_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
201901.0,2.0,30.0,84.0,17431312.729999837,54445097.300000615,37013784.56999796
201901.0,1.0,20.0,32.0,4635435.619999993,15126909.259999536,10491473.639999935
201901.0,2.0,0.0,24.0,6470232.839999908,15505723.639999356,9035490.800000094
201901.0,1.0,60.0,5.0,4064854.1899999864,28218548.32999912,24153694.139999777
201901.0,1.0,30.0,93.0,7286810.359999845,25247666.069998913,17960855.709999744
201901.0,1.0,40.0,76.0,11217303.089999873,37873748.74999862,26656445.659998726
201901.0,1.0,80.0,53.0,5102536.6699999375,31916125.179998633,26813588.509999033
201901.0,2.0,70.0,24.0,7810048.929999834,30989823.58999781,23179774.659998797
201901.0,2.0,40.0,84.0,22913335.059999775,62360992.97000053,39447657.90999812
201901.0,1.0,60.0,53.0,9102667.149999889,45750458.34999975,36647791.19999856
201901.0,2.0,30.0,44.0,12303214.239999795,38716608.36999905,26413394.129998736
201901.0,2.0,20.0,93.0,8362520.589999641,26761243.939997625,18398723.34999951
201901.0,1.0,60.0,76.0,18449113.119999945,101899616.360005,83450503.23999876
201901.0,2.0,80.0,5.0,4171983.199999974,32008141.17999954,27836157.979999892
201901.0,1.0,30.0,75.0,6622415.659999822,21745284.149998996,15122868.489999782
